name,serial_number,block_name
La France Pink,1,VIVID PINK
Carmine,1,VIVID PINK
Carmine Rose,1,VIVID PINK
Carmine Rose,1,VIVID PINK
Dawn Pink,1,VIVID PINK
Pink,1,VIVID PINK
Rose,1,VIVID PINK
Roseus,1,VIVID PINK
Arbutus,2,STRONG PINK
Carnation Rose,2,STRONG PINK
Crushed Strawberry,2,STRONG PINK
Hermosa Pink,2,STRONG PINK
Nymph (Pink),2,STRONG PINK
Orchid Pink,2,STRONG PINK
Peach Blossom [Pink],2,STRONG PINK
Peach Blossom [Red],2,STRONG PINK
Rose d’Althoea _ 117,2,STRONG PINK
Sea Pink . 217,2,STRONG PINK
Camellia Pink,2,STRONG PINK
Camellia Rose,2,STRONG PINK
Cameo Pink,2,STRONG PINK
"Charm,",2,STRONG PINK
Debutante Pink,2,STRONG PINK
Flamingo Pink,2,STRONG PINK
Rose Leaf,2,STRONG PINK
Salome Pink,2,STRONG PINK
Vesta,2,STRONG PINK
Zest Pink,2,STRONG PINK
Alizarine Pink,2,STRONG PINK
Hermosa Pink,2,STRONG PINK
Vinaceous,2,STRONG PINK
Geranium Pink m . 7y,2,STRONG PINK
Light Cherry Rose,2,STRONG PINK
Shrimp Pink m. . 6y,2,STRONG PINK
Coral,2,STRONG PINK
Rose Pink,2,STRONG PINK
Carmine,2,STRONG PINK
Carmine Rose,2,STRONG PINK
Dull Rose,2,STRONG PINK
Griseo-Roseus,2,STRONG PINK
Pink,2,STRONG PINK
Pink,2,STRONG PINK
Pink,2,STRONG PINK
Rose,2,STRONG PINK
Rose Pink,2,STRONG PINK
Roseus,2,STRONG PINK
Salmon Rose,2,STRONG PINK
Arbutus,2,STRONG PINK
Bachelor Button,2,STRONG PINK
Begonia,2,STRONG PINK
Bermuda,2,STRONG PINK
Candy Pink,2,STRONG PINK
Confetti,2,STRONG PINK
Crushed Strawberry,2,STRONG PINK
France Rose,2,STRONG PINK
Gaiety,2,STRONG PINK
Geranium Pink,2,STRONG PINK
Laurel Pink,2,STRONG PINK
Moss Rose,2,STRONG PINK
Pink Coral,2,STRONG PINK
Radiance,2,STRONG PINK
Rambler Rose,2,STRONG PINK
Rose Dorge,2,STRONG PINK
Rose Nilsson,2,STRONG PINK
Rose Marie. _ _ 212,2,STRONG PINK
RoseSoirge,2,STRONG PINK
Royal Pink. __ 214,2,STRONG PINK
Springtime,2,STRONG PINK
Strawberry Pink,2,STRONG PINK
Sunglow,2,STRONG PINK
Sweet William _ 119,2,STRONG PINK
Watermelon,2,STRONG PINK
